"user_login","last_name","first_name","description","role","term:position_category","term:committee"
"GF0001","今若","恒幸","日鉄ソリューションズ(株) 金融市場系ソリューション事業部長", "subscriber","director,sub-secretary-general","dx,sub_chairman"
"GF0002","古田","肇","岐阜県知事","subscriber","adviser",""
